ISTASYON_ADI;ENLEM;BOYLAM
Bosna Ýstasyonu;38.013.184;32.520.520
Selçuklu Ýstasyonu;37.917.843;32.505.660
Erenköy Ýstasyonu;37.907.138;32.459.662
Karkent Ýstasyonu;37.903.952;32.527.440
Merkez Trafik Ýstasyonu;37.883.034;32.485.458
Meram Ýstasyonu;37.860.659;32.470.254
Karatay Ýstasyonu;37.870.010;32.517.043
Karatay 2 Ýstasyonu;37.844.698;32.513.969
Akþehir Ýstasyonu;38.357.237;31.419.943
Sarayönü Ýstasyonu;38.514.783;32.459.111
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
